symbol,name,type,pair_code
WOOUSDT,WOO,GLOBAL,WOOUSDT
ALPINEUSDT,ALPINE,GLOBAL,ALPINEUSDT
TUSDT,T,GLOBAL,TUSDT
ASTRUSDT,ASTR,GLOBAL,ASTRUSDT
GMTUSDT,GMT,GLOBAL,GMTUSDT
APEUSDT,APE,GLOBAL,APEUSDT
BIFIUSDT,BIFI,GLOBAL,BIFIUSDT
STEEMUSDT,STEEM,GLOBAL,STEEMUSDT
NEXOUSDT,NEXO,GLOBAL,NEXOUSDT
LDOUSDT,LDO,GLOBAL,LDOUSDT
OPUSDT,OP,GLOBAL,OPUSDT
STGUSDT,STG,GLOBAL,STGUSDT
LUNCUSDT,LUNC,GLOBAL,LUNCUSDT
GMXUSDT,GMX,GLOBAL,GMXUSDT
POLYXUSDT,POLYX,GLOBAL,POLYXUSDT
APTUSDT,APT,GLOBAL,APTUSDT
OSMOUSDT,OSMO,GLOBAL,OSMOUSDT
HFTUSDT,HFT,GLOBAL,HFTUSDT
PHBUSDT,PHB,GLOBAL,PHBUSDT
HOOKUSDT,HOOK,GLOBAL,HOOKUSDT
MAGICUSDT,MAGIC,GLOBAL,MAGICUSDT
RPLUSDT,RPL,GLOBAL,RPLUSDT
GNSUSDT,GNS,GLOBAL,GNSUSDT
SYNUSDT,SYN,GLOBAL,SYNUSDT
SSVUSDT,SSV,GLOBAL,SSVUSDT
LQTYUSDT,LQTY,GLOBAL,LQTYUSDT
USTCUSDT,USTC,GLOBAL,USTCUSDT
GASUSDT,GAS,GLOBAL,GASUSDT
GLMUSDT,GLM,GLOBAL,GLMUSDT
PROMUSDT,PROM,GLOBAL,PROMUSDT
QKCUSDT,QKC,GLOBAL,QKCUSDT
IDUSDT,ID,GLOBAL,IDUSDT
ARBUSDT,ARB,GLOBAL,ARBUSDT
RDNTUSDT,RDNT,GLOBAL,RDNTUSDT
WBTCUSDT,WBTC,GLOBAL,WBTCUSDT
EDUUSDT,EDU,GLOBAL,EDUUSDT
SUIUSDT,SUI,GLOBAL,SUIUSDT
PEPEUSDT,PEPE,GLOBAL,PEPEUSDT
FLOKIUSDT,FLOKI,GLOBAL,FLOKIUSDT
MAVUSDT,MAV,GLOBAL,MAVUSDT
PENDLEUSDT,PENDLE,GLOBAL,PENDLEUSDT
ARKMUSDT,ARKM,GLOBAL,ARKMUSDT
WBETHUSDT,WBETH,GLOBAL,WBETHUSDT
WLDUSDT,WLD,GLOBAL,WLDUSDT
FDUSDUSDT,FDUSD,GLOBAL,FDUSDUSDT
SEIUSDT,SEI,GLOBAL,SEIUSDT
CYBERUSDT,CYBER,GLOBAL,CYBERUSDT
ARKUSDT,ARK,GLOBAL,ARKUSDT
IQUSDT,IQ,GLOBAL,IQUSDT
NTRNUSDT,NTRN,GLOBAL,NTRNUSDT
TIAUSDT,TIA,GLOBAL,TIAUSDT
MEMEUSDT,MEME,GLOBAL,MEMEUSDT
ORDIUSDT,ORDI,GLOBAL,ORDIUSDT
BEAMXUSDT,BEAMX,GLOBAL,BEAMXUSDT
PIVXUSDT,PIVX,GLOBAL,PIVXUSDT
VICUSDT,VIC,GLOBAL,VICUSDT
BLURUSDT,BLUR,GLOBAL,BLURUSDT
VANRYUSDT,VANRY,GLOBAL,VANRYUSDT
AEURUSDT,AEUR,GLOBAL,AEURUSDT
JTOUSDT,JTO,GLOBAL,JTOUSDT
1000SATSUSDT,1000SATS,GLOBAL,1000SATSUSDT
BONKUSDT,BONK,GLOBAL,BONKUSDT
ACEUSDT,ACE,GLOBAL,ACEUSDT
NFPUSDT,NFP,GLOBAL,NFPUSDT
AIUSDT,AI,GLOBAL,AIUSDT
XAIUSDT,XAI,GLOBAL,XAIUSDT
MANTAUSDT,MANTA,GLOBAL,MANTAUSDT
ALTUSDT,ALT,GLOBAL,ALTUSDT
JUPUSDT,JUP,GLOBAL,JUPUSDT
PYTHUSDT,PYTH,GLOBAL,PYTHUSDT
RONINUSDT,RONIN,GLOBAL,RONINUSDT
DYMUSDT,DYM,GLOBAL,DYMUSDT
PIXELUSDT,PIXEL,GLOBAL,PIXELUSDT
STRKUSDT,STRK,GLOBAL,STRKUSDT
PORTALUSDT,PORTAL,GLOBAL,PORTALUSDT
AXLUSDT,AXL,GLOBAL,AXLUSDT
WIFUSDT,WIF,GLOBAL,WIFUSDT
METISUSDT,METIS,GLOBAL,METISUSDT
AEVOUSDT,AEVO,GLOBAL,AEVOUSDT
BOMEUSDT,BOME,GLOBAL,BOMEUSDT
ETHFIUSDT,ETHFI,GLOBAL,ETHFIUSDT
ENAUSDT,ENA,GLOBAL,ENAUSDT
WUSDT,W,GLOBAL,WUSDT
TNSRUSDT,TNSR,GLOBAL,TNSRUSDT
SAGAUSDT,SAGA,GLOBAL,SAGAUSDT
TAOUSDT,TAO,GLOBAL,TAOUSDT
REZUSDT,REZ,GLOBAL,REZUSDT
BBUSDT,BB,GLOBAL,BBUSDT
NOTUSDT,NOT,GLOBAL,NOTUSDT
IOUSDT,IO,GLOBAL,IOUSDT
ZKUSDT,ZK,GLOBAL,ZKUSDT
LISTAUSDT,LISTA,GLOBAL,LISTAUSDT
ZROUSDT,ZRO,GLOBAL,ZROUSDT
GUSDT,G,GLOBAL,GUSDT
BANANAUSDT,BANANA,GLOBAL,BANANAUSDT
RENDERUSDT,RENDER,GLOBAL,RENDERUSDT
TONUSDT,TON,GLOBAL,TONUSDT
DOGSUSDT,DOGS,GLOBAL,DOGSUSDT
EURIUSDT,EURI,GLOBAL,EURIUSDT
POLUSDT,POL,GLOBAL,POLUSDT
NEIROUSDT,NEIRO,GLOBAL,NEIROUSDT
TURBOUSDT,TURBO,GLOBAL,TURBOUSDT
1MBABYDOGEUSDT,1MBABYDOGE,GLOBAL,1MBABYDOGEUSDT
CATIUSDT,CATI,GLOBAL,CATIUSDT
HMSTRUSDT,HMSTR,GLOBAL,HMSTRUSDT
EIGENUSDT,EIGEN,GLOBAL,EIGENUSDT
SCRUSDT,SCR,GLOBAL,SCRUSDT
